Team,Selected,Games,3rdDownConvPct,3rdDownConvPctDef,4thDownConvPct,4thDownConvPctDef,CompPct,PenPerGame,PenYardsPerGame,OppFDPerGame,FDPerGame,NetYdsPunt,PassYdsPerAtt,PassYdsPerComp,PassYdsPerGame,PassYdsPerAttDef,PassYdsPerCompDef,PassYdsPerGameDef,AvgPuntReturnYds,OppRZScorePct,OppPointsPerRZAtt,RZScorePct,PointsPerRZAtt,RushYdsPerRushDef,RushYdsPerGameDef,RushYdsPerRush,RushYdsPerGame,SacksAllowed,PPGDef,PPG,TFLAllowed,Sacks,TFLPG,AvgTOP,YdsPerPlayDef,YdsPerGameDef,YdsPerPlay,YdsPerGame,AvgTurnoverMargin,WinPct,Conference,Win.%.vs.Rank,AvgPointDifferential,Conf.Champ,Yrs.Since.Last.Selected,Year
Vanderbilt (SEC),0,9,0.399,0.439,0.6,0.6,0.638,4.67,38.11,24.33,20.22,35.92,6.57,10.31,219.9,8.86,12.07,296.4,9.2,0.906,4.78,0.7,3.9,5.69,191,3.01,110.1,2.11,37.3,14.8,6.89,1.56,3.7,29.7,7.28,487.4,4.71,330,-0.89,0.001,SEC,0.001,-22.5,0,5,2020
Boston College (ACC),0,12,0.454,0.453,0.565,0.65,0.535,5.17,38,22.75,22.42,39.27,7.7,14.39,183.4,8.46,12.84,299.6,8.83,0.894,4.34,0.83,4.34,4.64,180.8,5.09,267.8,0.92,31.7,30.9,4.75,1.33,7.4,28.58,6.46,480.3,5.91,451.3,0.5,0.5,ACC,0.001,-0.8,0,5,2019
Clemson (ACC),1,13,0.474,0.303,0.5,0.381,0.661,5.54,44,12.38,26.85,40.09,8.73,13.21,294.8,5.33,10.59,138.5,6.46,0.72,3.36,0.875,4.88,2.96,106.2,6.46,252.9,1,10.6,46.5,4.54,2.85,7.8,30.92,3.96,244.7,7.51,547.7,1.08,1,ACC,1,35.9,1,0,2019
Duke (ACC),0,12,0.332,0.372,0.606,0.524,0.563,5.25,45.33,19.33,18.67,40.37,5.69,10.1,179.3,6.76,12.91,199,11,0.844,4.33,0.906,4.5,4.34,180.6,3.64,150.3,2.33,29.2,25.3,4.92,2.92,6.7,29.02,5.35,379.6,4.53,329.7,-0.92,0.417,ACC,0.001,-3.9,0,5,2019
Florida St. (ACC),0,12,0.375,0.418,0.563,0.524,0.653,9.25,73.42,24.67,20.33,37.63,8.02,12.29,269.4,7.15,11.49,283.5,6.71,0.85,4.05,0.865,4.7,3.67,152.5,3.77,133.8,3.67,28.5,29.1,8.42,2.42,5.8,25.85,5.37,436,5.84,403.2,0.08,0.5,ACC,0.001,0.6,0,4,2019
Georgia Tech (ACC),0,12,0.301,0.452,0.471,0.684,0.461,4.75,41.08,22.58,15.08,38.27,5.97,12.96,133.9,7.53,12.46,207.7,4.75,0.774,4.06,0.593,3.33,4.79,215.3,4.08,152.4,2.33,32.4,16.7,6.83,1.42,5.1,26.7,5.83,422.9,4.79,286.3,-0.33,0.25,ACC,0.001,-15.7,0,5,2019
Louisville (ACC),0,12,0.423,0.38,0.636,0.455,0.581,7.25,60.83,21.83,20,38.71,9.88,16.99,228,7.43,12.49,235.3,12.47,0.833,4.69,0.825,4.58,5.48,210.8,4.89,214.1,2.92,33.8,32.7,9.67,1.92,5.7,31.43,6.36,446.1,6.61,442.1,-0.17,0.583,ACC,0.333,-1.1,0,5,2019
Miami (FL) (ACC),0,12,0.264,0.371,0.52,0.706,0.596,7,59.75,16.75,19.83,40.7,7.66,12.86,257.2,6.77,12.18,197.9,14,0.824,3.88,0.722,3.78,3.06,109.7,3.85,121.8,3.92,20.8,27.8,7.25,3.58,8.6,30.37,4.73,307.6,5.81,378.9,0.42,0.5,ACC,0.5,7,0,5,2019
NC State (ACC),0,12,0.355,0.41,0.483,0.75,0.527,5.92,52.25,21.42,21.58,41.51,5.94,11.27,229.1,7.44,11.57,255.5,13.53,0.875,4.56,0.833,3.94,3.87,143.4,4.34,151.2,1.5,30.1,22.1,5.75,2.92,7,29.33,5.59,398.9,5.18,380.3,-1.08,0.333,ACC,0.001,-8,0,5,2019
North Carolina (ACC),0,12,0.384,0.372,0.636,0.462,0.604,6.17,53.17,19.75,23.5,37.67,8.64,14.31,285,7.17,11.88,232.6,5.42,0.833,4.21,0.875,4.25,4.08,149,4.52,184,3.08,24.6,31.3,7.25,2.33,6.1,30.13,5.54,381.6,6.37,469,0.58,0.5,ACC,0.001,6.7,0,5,2019
Pittsburgh (ACC),0,12,0.396,0.317,0.471,0.588,0.61,8.17,71,17.42,20.58,35.8,6.42,10.52,253.4,6.14,12.16,195.6,5.76,0.81,3.79,0.778,3.67,2.94,106.9,3.51,120.7,2.25,21.8,20.1,5.75,4.08,8.2,31.07,4.44,302.5,5.07,374.1,-0.67,0.583,ACC,0.5,-1.7,0,5,2019
Syracuse (ACC),0,12,0.38,0.427,0.393,0.368,0.613,8.92,73.92,23.58,19.92,43.03,7.08,11.55,240.6,7.41,13.88,262.5,8.56,0.81,4.43,0.761,3.85,4.91,201.6,3.69,154,4.17,30.7,28.3,8.17,2.5,6.3,29.32,6.07,464.1,5.21,394.6,0.75,0.417,ACC,0.001,-2.4,0,5,2019
Virginia (ACC),0,13,0.458,0.353,0.533,0.478,0.645,4.85,46,18.54,21.23,37.14,7.15,11.08,263.5,8.02,14.33,228.2,6.08,0.825,4.28,0.877,4.48,3.65,130,3.91,126.5,2.92,26.5,32.4,5.69,3.46,7.2,33.43,5.59,358.2,5.63,390,-0.23,0.692,ACC,0.333,5.9,0,5,2019
Virginia Tech (ACC),0,12,0.387,0.365,0.667,0.519,0.584,5.58,48,17.67,19.92,41.58,8.81,15.08,217.3,6.63,12.24,236.6,10.04,0.718,3.77,0.942,4.85,3.68,123.3,3.89,172.5,2.33,23.7,30.9,5.92,3.08,6.5,31.37,5.2,359.9,5.65,389.8,-0.42,0.667,ACC,0.5,7.2,0,5,2019
Wake Forest (ACC),0,12,0.472,0.315,0.467,0.609,0.614,4.17,32.92,20.5,24.17,39.16,8.12,13.23,297.8,7.49,12.16,247.2,7,0.886,4.57,0.875,4.23,4.23,162.6,3.87,175.7,1.58,29.3,32.8,6.17,2.5,6.8,30.77,5.74,409.8,5.77,473.4,0.58,0.667,ACC,0.001,3.5,0,5,2019
Baylor (Big 12),0,13,0.414,0.394,0.5,0.56,0.632,6.23,52.92,20.31,22.08,38.22,8.47,13.4,256.7,6.15,10.28,215.1,8.31,0.826,3.98,0.895,4.63,3.69,143.8,4.77,174.5,2.69,19.3,35.2,6.85,3.31,7.4,28.38,4.85,358.9,6.44,431.2,1.08,0.846,Big 12,0.001,15.9,0,5,2019
Iowa St. (Big 12),0,12,0.386,0.426,0.474,0.462,0.657,5,40.92,19.08,23.67,36.69,8.45,12.86,318.3,6.63,10.58,228.3,11.25,0.879,4.36,0.941,5,3.84,133.8,4.37,140.3,1.17,25.3,34.1,4.17,2.25,6.7,30.67,5.23,362.2,6.58,458.7,-0.08,0.583,Big 12,0.333,8.8,0,5,2019
Kansas (Big 12),0,12,0.392,0.523,0.35,0.5,0.603,5.5,50.08,25.75,18.67,39.07,7.12,11.82,231.5,7.96,12.48,249.5,5.11,0.869,4.72,0.882,4.41,4.91,225.7,4.57,145.8,1.92,36.1,23.5,6.33,1.42,5,26.72,6.15,475.2,5.86,377.3,-1,0.25,Big 12,0.001,-12.6,0,5,2019
Kansas St. (Big 12),0,12,0.446,0.259,0.583,0.333,0.592,6,53.25,17.08,20.33,39.64,7.71,13.03,185.7,7.45,12.64,211.7,6.47,0.968,4.55,0.96,4.92,4.91,152.3,4.44,189,1.83,21.5,30.7,5.92,1.75,5.2,34.27,6.13,364,5.62,374.7,0.17,0.667,Big 12,1,9.2,0,5,2019
Oklahoma (Big 12),1,13,0.507,0.301,0.667,0.391,0.709,7.15,75.08,19,25.54,40.21,11.35,16.01,303,6.7,11.47,198.5,7.19,0.93,4.67,0.913,4.83,4.02,132.1,6.08,251.2,1.62,24.5,43.2,5.38,2.69,7.8,31.33,5.29,330.6,8.15,554.2,-0.54,0.923,Big 12,1,18.7,1,0,2019
Oklahoma St. (Big 12),0,12,0.393,0.387,0.55,0.381,0.65,5.17,47.5,21,22.33,38.33,8.18,12.59,227.7,7.49,12.47,267.1,8.2,0.878,4.54,0.907,4.47,4.14,151,5.34,236.3,1.83,27,33.4,6.58,2.25,5.8,29.1,5.79,418.1,6.44,463.9,-0.25,0.667,Big 12,0.4,6.4,0,5,2019
TCU (Big 12),0,12,0.47,0.349,0.417,0.4,0.534,6.5,61.33,16.25,21.42,35.58,6.19,11.58,203.7,6.66,12.04,199.7,19.94,0.9,4.58,0.943,4.47,4.03,137.3,4.8,204,2.5,26.4,30.3,6.17,1.83,5.8,32.92,5.26,336.9,5.41,407.7,0,0.417,Big 12,0.333,3.9,0,5,2019
Texas (Big 12),0,12,0.491,0.4,0.389,0.421,0.65,7.58,71,23.08,25.25,38.82,7.88,12.13,296.2,8.03,12.68,306.4,4.08,0.878,4.35,0.932,5.18,4.2,139.8,4.66,172,2.75,28.9,35,5.67,1.83,5.8,30.95,6.24,446.3,6.28,468.2,0.5,0.583,Big 12,0.25,6.1,0,5,2019
Texas Tech (Big 12),0,12,0.382,0.417,0.48,0.533,0.644,6.25,57.92,22.08,24.83,42.54,7.34,11.39,324.7,9.17,14.96,307.8,5.87,0.854,4.19,0.882,4.29,4.39,172.5,4.44,149.6,1.5,30.3,30.5,4.83,2,6.7,28.22,6.59,480.3,6.09,474.3,0.33,0.333,Big 12,0.333,0.2,0,5,2019
West Virginia (Big 12),0,12,0.346,0.399,0.526,0.6,0.637,5.92,48.92,22.58,17.67,39.19,6.57,10.33,248.7,7.74,12.36,239.9,4.58,0.894,4.6,0.735,3.62,3.81,159.4,2.63,73.3,1.75,28.8,20.6,7.83,2.75,6.6,28.35,5.48,399.3,4.9,321.9,-0.5,0.417,Big 12,0.2,-8.2,0,5,2019
Illinois (Big Ten),0,12,0.337,0.365,0.36,0.619,0.54,6.42,59,21.08,16.83,40.78,6.5,12.14,177,7.7,13.49,208,5.95,0.813,3.94,0.833,4.7,4.34,201.6,3.77,142.4,3.08,25.4,27.3,6.75,1.83,7.6,25.77,5.58,409.6,4.91,319.4,0.92,0.5,Big Ten,0.333,1.9,0,5,2019
Indiana (Big Ten),0,12,0.482,0.348,0.44,0.545,0.69,6.83,65.33,19.08,23.92,37.94,8.44,12.31,308.7,7.06,12.7,211.7,4.8,0.909,4.73,0.847,4.47,3.93,138.8,3.71,134.9,1.92,24.5,32.6,5.42,2.17,6.3,34.08,5.36,350.4,6.08,443.6,0.08,0.667,Big Ten,0.001,8.1,0,5,2019
Iowa (Big Ten),0,12,0.392,0.369,0.7,0.308,0.59,4.33,33.17,16.33,19,38.76,7.21,12.28,230.3,5.99,10.33,184.2,9.38,0.792,3.63,0.947,4.42,3.6,120.1,4,139.5,1.75,13.2,23.8,5.5,2.42,4.9,31.9,4.75,304.3,5.54,369.8,0.5,0.75,Big Ten,0.25,10.6,0,5,2019
Maryland (Big Ten),0,12,0.321,0.433,0.31,0.444,0.5,5.83,48.75,23,16.75,38.63,6.11,12.14,174,8.04,12.33,271.3,13.67,0.848,4.41,0.657,3.77,4.26,177.9,4.78,169.4,3.17,34.7,25.3,6.92,1.75,6.3,25.75,5.95,449.2,5.37,343.4,-0.42,0.25,Big Ten,0.2,-9.4,0,5,2019
Michigan (Big Ten),0,12,0.385,0.32,0.52,0.591,0.57,6.08,49,17.17,21.92,39.29,8.12,14.35,252.3,6.52,11.46,173.8,7.86,0.774,4.45,0.807,4.26,3.03,119.1,3.98,149.8,1.83,19.5,33,4.75,3,6.2,29.08,4.44,292.8,5.85,402.1,0.17,0.75,Big Ten,0.4,13.5,0,5,2019
Michigan St. (Big Ten),0,12,0.365,0.335,0.6,0.526,0.57,5.67,53.75,17.33,20.67,37.1,6.72,11.73,238.5,6.76,11.03,210.6,6.13,0.757,3.81,0.787,3.89,3.27,108.6,3.46,123,1.42,22.7,22,5.42,3,7.1,31.07,4.95,319.2,5.09,361.5,-0.08,0.5,Big Ten,0.001,-0.7,0,3,2019
Minnesota (Big Ten),0,12,0.503,0.383,0.65,0.563,0.66,4.25,38.42,18,22.58,37.03,10.29,15.7,251.2,6.72,12.13,184.9,3.6,0.909,4.73,0.909,4.91,3.8,127.9,4.09,175.7,2.5,22.4,34.3,5.75,2.17,4.8,33.92,5.11,312.8,6.34,426.8,0.33,0.833,Big Ten,0.333,11.9,0,5,2019
Nebraska (Big Ten),0,12,0.412,0.401,0.44,0.438,0.6,5.08,43.17,19.92,20.83,39.42,7.9,13.15,212.6,6.62,11.2,200.8,8,0.909,4.77,0.745,3.82,4.82,188.1,4.48,203.3,2.33,27.8,28,7.17,2.25,6.1,28.9,5.61,388.8,5.76,415.8,0,0.417,Big Ten,0.001,0.2,0,5,2019
Northwestern (Big Ten),0,12,0.358,0.406,0.39,0.385,0.5,5.42,48.5,17.58,17.67,36.27,4.5,9,117,6.63,10.84,198.8,8.29,0.833,4.29,0.774,3.87,3.77,136.9,4.08,180.1,1.92,23.6,16.3,6,2,5.8,30.05,5.06,335.7,4.23,297.1,-0.83,0.25,Big Ten,0.001,-7.3,0,5,2019
Ohio St. (Big Ten),1,13,0.57,0.286,0.58,0.35,0.67,5.62,53.31,15.08,28.38,38.68,9.34,13.96,258.8,5.35,10.58,148.1,7.74,0.643,3.11,0.889,5.13,2.82,99.5,5.67,272.2,2.38,12.5,48.7,5.46,3.92,9.2,31.85,3.93,247.6,7.02,531,0.85,1,Big Ten,1,36.2,1,2,2019
Penn St. (Big Ten),0,12,0.415,0.353,0.69,0.577,0.59,4.58,47.83,18.25,20.83,39.62,7.86,13.32,228.7,7.01,11.63,232.5,6.36,0.815,3.89,0.894,4.79,2.6,97.7,4.5,173.5,2.33,14.1,34.3,6.25,3.25,7.7,27.93,4.67,330.2,5.94,402.2,0.58,0.833,Big Ten,0.5,20.2,0,5,2019
Purdue (Big Ten),0,12,0.408,0.406,0.5,0.611,0.62,4.58,37.67,21.75,20.58,35.84,7.15,11.62,309.9,7.66,12.39,243.8,5.58,0.809,4.21,0.951,4.98,4.74,192.5,2.92,83.3,2.33,30.6,25.8,6.83,1.92,6,27.58,6.02,436.3,5.47,393.2,-0.67,0.333,Big Ten,0.001,-4.8,0,5,2019
Rutgers (Big Ten),0,12,0.345,0.442,0.43,0.524,0.55,6.33,59.08,22.75,13.33,41.49,6.01,10.86,139.3,8.13,13.35,232.5,2.69,0.827,4.56,0.731,3.35,4.88,201.1,3.51,133.8,2.17,36.7,13.3,6.33,1.5,4.6,30.03,6.22,433.6,4.46,273.1,-1.08,0.167,Big Ten,0.001,-23.4,0,5,2019
Wisconsin (Big Ten),0,13,0.5,0.271,0.78,0.462,0.71,4.62,42.85,16.46,23.23,36.07,8.28,11.73,201.2,6.31,12.43,191.2,8.54,0.727,3.82,0.863,4.59,3.38,102.4,5.44,240.5,1.54,16.1,34.6,4.54,3.77,6.7,35.43,4.84,293.5,6.45,441.8,0.23,0.769,Big Ten,0.6,18.5,0,5,2019
Notre Dame (FBS Independent),0,12,0.415,0.322,0.652,0.5,0.6,6.75,52.92,18.42,21.25,38.14,7.81,13.01,252.6,5.74,10.62,163.7,9.22,0.964,4.71,0.922,5.12,3.95,162.1,4.9,176.8,1.25,18.7,37.1,5.5,2.5,7.1,28.33,4.68,325.8,6.28,429.4,1.25,0.833,FBS Independent,0.5,18.4,-1,0,2019
Arizona (Pac-12),0,12,0.441,0.47,0.65,0.333,0.618,6.33,56.42,24.42,22.5,34.54,7.57,12.23,266.1,8.09,12.33,289.8,6.36,0.906,4.58,0.857,4.46,4.75,181.6,4.63,174,2.75,35.8,26.9,7,1.42,4.5,27.4,6.36,471.4,6.05,440.1,-0.25,0.333,Pac-12,0.001,-8.9,0,5,2019
Arizona St. (Pac-12),0,12,0.4,0.435,0.56,0.524,0.623,6.67,64.83,21,18.33,41.69,8.56,13.76,253.3,7.43,11.58,270.1,13.56,0.833,4.75,0.902,4.17,3.4,116.8,3.59,126.3,2.5,23.1,25.2,5.83,1.83,5.3,29.25,5.48,386.9,5.86,379.6,0.83,0.583,Pac-12,0.75,2.1,0,5,2019
California (Pac-12),0,12,0.369,0.394,0.33,0.593,0.545,4.75,40.25,20.75,18.33,35.86,6.85,12.58,190.8,7.08,11.01,262.4,11.42,0.826,4.11,0.833,4.5,3.49,123.1,3.62,132.3,3.58,22.1,20.1,6.92,2.83,5.9,29.23,5.33,385.5,5.01,323,0.17,0.583,Pac-12,0.5,-2,0,5,2019
Colorado (Pac-12),0,12,0.413,0.474,0.6,0.538,0.625,7.08,60.5,21.75,21.42,39.64,6.95,11.12,238.2,8.52,12.96,288.3,5.7,0.837,4.4,0.791,3.77,4.51,153.6,4.14,150.3,1.75,31.8,23.5,5.42,2,4.3,30.58,6.51,441.9,5.5,388.5,0.25,0.417,Pac-12,0.5,-8.3,0,5,2019
Oregon (Pac-12),0,12,0.425,0.335,0.54,0.357,0.668,6.38,64.77,20.75,25.58,38.18,8.18,12.24,267.5,6.15,10.57,222.8,14.94,0.75,3.25,0.783,4.3,3.23,106.8,4.96,183.2,1.77,15.7,35.9,4.54,3.15,7.2,28.73,4.76,329.6,6.47,450.7,1,0.846,Pac-12,0.667,20.2,1,4,2019
Oregon St. (Pac-12),0,13,0.423,0.444,0.54,0.778,0.619,6.5,58.42,24.25,22.33,37.9,7.29,11.77,255.1,7.99,12.65,276.2,5.08,0.784,4.18,0.923,5.31,4.34,169.5,4.59,156.7,2.08,32.5,31.2,5,2.67,7.2,28.45,6.05,445.7,5.95,411.8,0.83,0.417,Pac-12,0.001,-1.3,0,5,2019
Southern California (Pac-12),0,12,0.452,0.39,0.6,0.5,0.71,7.25,71.33,23.08,23.42,38.96,8.65,12.18,335.9,6.91,11.36,248.9,5.6,0.844,4.27,0.84,4.38,4.61,166.5,4.08,127.8,2,27.8,33.2,5.25,2.75,6.3,29.05,5.76,415.4,6.61,463.7,-0.58,0.667,Pac-12,0.4,5.4,0,5,2019
Stanford (Pac-12),0,12,0.392,0.452,0.31,0.625,0.622,6.25,48.75,22.83,19.75,37.38,7.09,11.41,262.4,8.12,12.42,279.5,7.15,0.854,4.56,0.882,4.06,4.46,150.8,3.66,105.5,2.42,29.8,21.7,5.75,2.25,5.9,32.18,6.3,430.3,5.59,367.9,-0.08,0.333,Pac-12,0.25,-8.1,0,5,2019
UCLA (Pac-12),0,12,0.421,0.442,0.45,0.412,0.61,6.75,55.25,21.92,22.42,38.84,7.2,11.79,255.5,9.21,13.86,310.8,22.5,0.848,4.57,0.776,4.29,4.25,145.5,3.68,150.2,3.08,34.8,26.7,7.33,2.17,6,30.35,6.71,456.3,5.31,405.7,-0.67,0.333,Pac-12,0.4,-8.1,0,5,2019
Utah (Pac-12),0,13,0.478,0.293,0.46,0.571,0.732,7.31,62.23,14.31,22,37.29,10.27,14.04,235.5,5.8,10.33,185.9,9.92,0.72,3.36,0.849,4.58,2.69,70.3,4.86,207,1.62,13.2,34,5.62,2.31,5.6,34.55,4.4,256.2,6.75,442.5,0.62,0.846,Pac-12,0.5,20.8,0,5,2019
Washington (Pac-12),0,12,0.344,0.379,0.69,0.619,0.635,6.5,52.42,20.25,20.17,42.78,7.78,12.25,245.1,6.45,10.12,225.1,11.57,0.805,3.88,0.896,4.44,3.83,130.4,4.23,150.3,1.58,20.4,31.5,4.75,2.42,5.5,29.78,5.15,355.5,5.9,395.4,0.42,0.583,Pac-12,0.333,11.1,0,2,2019
Washington St. (Pac-12),0,12,0.432,0.424,0.65,0.5,0.714,6.83,62.42,22.42,26.67,40.34,7.98,11.18,444.3,8.91,13.99,286.8,13.6,0.837,4.53,0.879,4.55,4.87,170,4.31,72.5,1.5,31.4,39.2,3.5,1.92,5.5,30.38,6.81,456.8,7.13,516.8,-0.5,0.5,Pac-12,0.001,7.8,0,5,2019
Alabama (SEC),0,12,0.531,0.347,0.68,0.333,0.711,7.5,69.17,18.67,24.83,34.81,10.82,15.21,343.5,5.9,10.33,183.4,24.67,0.833,4.2,0.831,4.53,3.83,135.2,5.02,169.8,1,18.8,48.3,4.83,2.42,6,30.38,4.8,318.6,7.83,513.3,1.33,0.833,SEC,0.333,29.5,0,0,2019
Arkansas (SEC),0,12,0.333,0.455,0.4,0.563,0.496,5.08,41,22.58,18.25,37.51,5.69,11.46,192.9,8.06,12.11,229.2,11.5,0.872,4.72,0.75,3.84,5.47,221.5,4.7,147.2,1.58,36.8,21.4,5.58,1.75,5.1,27.78,6.54,450.7,5.21,340.1,-0.42,0.167,SEC,0.001,-15.4,0,5,2019
Auburn (SEC),0,12,0.413,0.3,0.46,0.364,0.573,7.42,58.17,18.83,22.17,38.47,6.81,11.89,210.1,5.91,10.25,208.4,13.82,0.714,3.69,0.9,4.86,3.41,115.5,4.83,211,1.33,18.6,34,5.25,2.33,7.5,30.22,4.68,323.9,5.65,421.1,0.5,0.75,SEC,0.5,15.4,0,5,2019
Florida (SEC),0,12,0.407,0.363,0.58,0.222,0.685,5.25,48.17,16.08,22.67,42.3,8.42,12.3,300.4,6.6,11.13,192,4.71,0.645,3,0.84,4.56,3.23,107,3.96,120.3,2,14.4,33,5.17,3.83,8.1,30.12,4.8,299,6.37,420.7,0.42,0.833,SEC,0.333,18.6,0,5,2019
Georgia (SEC),0,13,0.421,0.304,0.56,0.3,0.61,5.38,46.38,15.46,21.23,42.63,7.46,12.22,220.9,5.72,10.04,198.5,11.38,0.708,3.5,0.942,4.79,2.65,75.7,5.07,189.3,0.92,12.5,31.2,4.15,2.15,5.3,32.25,4.34,274.2,6.13,410.2,0,0.846,SEC,0.75,18.7,0,1,2019
Kentucky (SEC),0,12,0.383,0.394,0.46,0.313,0.5,5.75,49.67,17.08,19.17,45.13,5.76,11.52,117.1,6.26,10.91,172.7,7.39,0.767,4.1,0.784,4.38,4.44,151.6,6.36,274.4,1.33,18.4,26.3,4.5,2.67,5.6,31.85,5.25,324.3,6.17,391.5,0,0.583,SEC,0.001,7.9,0,5,2019
LSU (SEC),1,13,0.506,0.302,0.57,0.464,0.763,6,59.15,18.77,27.54,38.21,10.57,13.85,386.8,6.4,12.53,221.7,12.32,0.735,3.97,0.969,5.22,3.61,119.6,4.85,167.5,2.23,21.2,47.8,4.92,2.54,6.5,29.83,5.04,341.3,7.79,554.4,0.62,1,SEC,1,26.6,1,5,2019
Mississippi St. (SEC),0,12,0.391,0.374,0.41,0.563,0.585,5.83,46.5,20.08,21.33,37.75,7.31,12.5,176,8.44,13.99,241.3,4.36,0.796,4.35,0.854,4.76,4.33,148.6,5.52,226.9,2.25,28.1,27.6,5.42,1.83,5.2,31.92,6.2,389.9,6.18,402.9,0.17,0.5,SEC,0.001,-0.5,0,5,2019
Missouri (SEC),0,12,0.365,0.331,0.54,0.357,0.601,6.92,67.33,16.25,20.42,39.03,7.1,11.82,222.6,6.18,12.29,179.3,11.15,0.806,3.97,0.739,3.78,3.77,132.8,3.82,151.7,2.25,19.4,25.3,6.08,1.58,5.2,29.9,4.86,312,5.27,374.3,0.08,0.5,SEC,0.001,5.9,0,5,2019
Ole Miss (SEC),0,12,0.368,0.399,0.53,0.6,0.56,4.92,48.75,22.25,22.58,37.22,7.01,12.52,194,7.69,11.59,278.3,6.07,0.868,4.26,0.868,4.34,3.91,138.5,5.39,251.3,1.75,26.5,26.6,6.33,2.75,6.1,28.23,5.82,416.8,6,445.3,0.08,0.333,SEC,0.001,0.1,0,5,2019
South Carolina (SEC),0,12,0.321,0.383,0.48,0.357,0.575,6.58,54.67,20.5,19.33,41.96,5.72,9.95,222.3,6.99,11.81,235.3,13.27,0.811,3.89,0.765,3.79,4.21,158,4.54,149.7,2.08,26.1,22.4,5,2,6,27.02,5.53,393.3,5.18,371.9,0.25,0.333,SEC,0.25,-3.7,0,5,2019
Tennessee (SEC),0,12,0.435,0.4,0.18,0.462,0.555,6.33,52.33,20,18.5,37.65,8.1,14.59,220,6.73,11.71,191.3,16.5,0.81,4.29,0.786,3.86,3.79,145.8,4.08,144.8,1.67,21.7,24.3,5.33,2.5,5.2,29.25,5.04,337.1,5.82,364.8,0,0.583,SEC,0.001,2.6,0,5,2019
Texas A&M (SEC),0,12,0.393,0.315,0.64,0.692,0.6,6.58,55.33,19.42,22.33,40.49,6.85,11.4,247.1,6.4,11.71,211.7,13.08,0.829,4.11,0.889,4.44,4.01,129.1,4.69,151.7,2.75,22.7,30,5,2.08,6.8,33.02,5.22,340.8,5.83,398.8,-0.33,0.583,SEC,0.001,7.3,0,5,2019
Vanderbilt (SEC),0,12,0.295,0.391,0.38,0.429,0.53,6.33,54.08,22,16,38.6,5.42,10.22,172,8.41,13.67,227.8,9.29,0.804,4.37,0.714,3.71,5.3,208.8,4.21,127.3,2.33,31.8,16.5,6.17,1.67,5.8,29.17,6.57,436.6,4.83,299.3,-0.17,0.25,SEC,0.25,-15.3,0,5,2019
Boston College (ACC),0,12,0.339,0.374,0.5,0.5,0.579,6.25,49.17,21.42,19.42,33.9,7.66,13.25,215.3,6.73,11.85,247.9,14,0.8,4.27,0.805,4.46,3.77,154.9,4.07,189.1,1.92,25.7,32,6.25,2.75,6.7,27.82,5.17,402.8,5.42,404.3,0.58,0.583,ACC,0.001,6.3,0,5,2018
Clemson (ACC),1,13,0.438,0.282,0.529,0.3,0.646,5.08,45.92,15,23.92,36.31,8.07,12.49,270.1,6.34,12.01,183.8,7.25,0.742,3.58,0.909,5.09,2.4,93,6.75,259.8,1.08,13.7,45.4,3.46,3.46,9.3,28.45,4.08,276.8,7.37,529.8,0.31,1,ACC,1,31.7,1,0,2018
Duke (ACC),0,12,0.41,0.398,0.4,0.5,0.569,4.17,35.17,21.08,20.42,35.96,6.39,11.22,229.9,6.36,11.59,197.1,5.24,0.816,4.5,0.829,4.32,5.16,222.3,4.43,162.7,2.25,27.4,27.2,5.42,1.75,5.8,27.3,5.66,419.4,5.4,392.6,-0.5,0.583,ACC,0.001,-0.2,0,5,2018
Florida St. (ACC),0,12,0.291,0.365,0.5,0.393,0.571,9.17,70.92,21.83,17.25,37.12,7.12,12.47,270.1,7.15,13.11,268.7,11.95,0.828,4.19,0.781,4.13,3.52,147.7,2.79,91.1,3,31.5,21.9,8.58,2.33,5.8,27.62,5.24,416.3,5.12,361.2,-0.92,0.417,ACC,0.167,-9.6,0,3,2018
Georgia Tech (ACC),0,12,0.453,0.493,0.5,0.6,0.447,3.83,36.83,20.25,21.83,41.03,8.88,19.84,84.3,7.47,11.47,217.9,7,0.833,4.5,0.804,4.5,4.51,149.8,5.73,334.9,1.25,28.9,35.6,5.33,1.33,4.2,33.8,5.89,367.8,6.17,419.3,0.75,0.583,ACC,0.001,6.7,0,5,2018
Louisville (ACC),0,12,0.355,0.519,0.364,0.667,0.533,8.42,71.75,23.33,18.75,35.7,6.43,12.06,211.1,8.53,13.24,206.3,15.15,0.881,4.88,0.806,4.25,6.02,277.3,4.21,141.5,3.58,44.1,19.8,7.75,0.92,3.8,29.62,6.88,483.5,5.31,352.6,-1,0.167,ACC,0.001,-24.3,0,5,2018
Miami (FL) (ACC),0,12,0.416,0.237,0.435,0.429,0.519,6,49.75,15.42,18,34.05,6.27,12.09,177.3,5.52,10.37,140.8,20,0.848,3.91,0.851,4.6,3.27,127.5,5.19,197.3,2.17,18.2,30.9,5.58,3.08,10.5,29.8,4.16,268.3,5.65,374.6,0.25,0.583,ACC,0.5,12.7,0,5,2018
