Team,Selected,Games,3rdDownConvPct,3rdDownConvPctDef,4thDownConvPct,4thDownConvPctDef,CompPct,PenPerGame,PenYardsPerGame,OppFDPerGame,FDPerGame,NetYdsPunt,PassYdsPerAtt,PassYdsPerComp,PassYdsPerGame,PassYdsPerAttDef,PassYdsPerCompDef,PassYdsPerGameDef,AvgPuntReturnYds,OppRZScorePct,OppPointsPerRZAtt,RZScorePct,PointsPerRZAtt,RushYdsPerRushDef,RushYdsPerGameDef,RushYdsPerRush,RushYdsPerGame,SacksAllowed,PPGDef,PPG,TFLAllowed,Sacks,TFLPG,AvgTOP,YdsPerPlayDef,YdsPerGameDef,YdsPerPlay,YdsPerGame,AvgTurnoverMargin,WinPct,Conference,Win.%.vs.Rank,AvgPointDifferential,Conf.Champ,Yrs.Since.Last.Selected,Year
Baylor (Big 12),0,9,0.331,0.392,0.6,0.692,0.619,7.22,62.44,19.56,18.33,36.32,5.98,9.65,219.9,7.05,11.07,203,3.91,0.865,4.54,0.821,4.18,4.44,180.4,2.73,90.3,3.44,29.2,23.3,8.78,2.11,6.6,29.32,5.52,383.4,4.44,310.2,0.89,0.222,Big 12,0.001,-5.9,0,5,2020
Iowa St. (Big 12),0,11,0.437,0.345,0.692,0.474,0.666,5.18,44.64,18.18,22.55,35.23,7.97,11.97,249.1,7.49,12.03,238.4,5.36,0.727,3.55,0.848,4.5,3.15,104.6,5.29,192,1.36,21.8,32.8,4.64,2.55,7.1,32.18,5.28,343,6.53,441.1,0,0.727,Big 12,0.5,11,0,5,2020
Kansas (Big 12),0,9,0.232,0.418,0.417,0.8,0.548,5.67,46.44,23.33,15.89,33.14,4.91,8.96,154.3,7.81,12.62,223,-1.25,0.953,4.88,0.778,4.17,5.81,236.2,2.67,104.9,5.22,46,15.8,10.67,1,4.7,30.77,6.63,459.2,3.66,259.2,-0.44,0.001,Big 12,0.001,-30.2,0,5,2020
Kansas St. (Big 12),0,10,0.331,0.401,0.6,0.529,0.555,6.5,56.4,22.9,15.5,39.25,7.52,13.55,185.7,7.58,11.19,267.5,22.07,0.826,4.37,0.939,4.73,4.73,177.2,4.29,151.7,1.4,32.2,26.6,6.1,2.8,6.8,29.02,6.11,444.7,5.61,337.4,-0.3,0.4,Big 12,0.333,-5.6,0,5,2020
Oklahoma (Big 12),0,10,0.405,0.277,0.8,0.667,0.694,7.6,69.8,17.7,24.9,35.54,9.54,13.74,321.6,6.69,12.09,243,12.38,0.824,4.32,0.909,4.75,3.06,90.6,4.07,154.2,2.2,21.9,41.8,7.5,3.8,7.9,32.87,5.06,333.6,6.65,475.8,0.4,0.8,Big 12,1,19.9,1,0,2020
Oklahoma St. (Big 12),0,10,0.424,0.263,0.444,0.632,0.598,6.4,51.2,18.1,23.1,38.19,7.74,12.94,233,6.62,11.59,205.2,5.74,0.84,4.2,0.818,3.89,4.05,160.5,4.19,194.7,2.4,22.4,29.5,7.1,3.2,8.4,31.08,5.18,365.7,5.58,427.7,-0.2,0.7,Big 12,0.5,7.1,0,5,2020
TCU (Big 12),0,10,0.375,0.329,0.538,0.615,0.601,7.7,61.5,16.2,19.5,38.93,7.19,11.97,196.3,7.25,13.38,223.4,12.67,0.786,3.75,0.844,4.13,3.63,127.5,5.21,214.7,2.3,24.2,30.8,6.8,2.7,8,30.15,5.32,350.9,6,411,0.2,0.6,Big 12,1,6.6,0,5,2020
Texas (Big 12),0,9,0.39,0.366,0.6,0.231,0.596,7.89,75.67,24.11,22,37.33,7.78,13.05,274,6.86,10.64,274.2,4.07,0.818,4.02,0.863,4.59,3.59,135.6,5,183.3,2.22,29.1,41.3,5.78,1.78,7.6,27.67,5.27,409.8,6.36,457.3,0.78,0.667,Big 12,0.5,12.2,0,5,2020
Texas Tech (Big 12),0,10,0.369,0.414,0.583,0.571,0.651,6.7,57.7,23.3,21.4,38.08,6.7,10.3,266.7,7.3,11.49,258.5,5.63,0.857,4.53,0.758,4.09,4.41,186.4,4.83,162.8,1.6,36.7,29.1,5.4,1.7,5.7,27.05,5.73,444.9,5.84,429.5,-0.9,0.4,Big 12,0.001,-7.6,0,5,2020
West Virginia (Big 12),0,9,0.407,0.394,0.524,0.625,0.641,8.33,76.44,16,22.22,38.45,6.95,10.85,277.2,6.21,10.06,171,4.42,0.824,4.06,0.889,4.5,3.63,126.2,3.95,145.4,2,20.4,26.8,7.67,2.44,6.8,32.63,4.77,297.2,5.51,422.7,0.33,0.556,Big 12,0.25,6.4,0,5,2020
